gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT01/1270566,LFL,2020,1/21/2020 21:16,1,0,Blue,Solary,1282,0,5,18,30383,42817,GamersOrigin
ESPORTSTMNT01/1270566,LFL,2020,1/21/2020 21:16,1,0,Red,GamersOrigin,1282,1,18,5,42817,30383,Solary
ESPORTSTMNT01/1280575,PRM,2020,1/21/2020 21:20,1,0,Blue,mousesports,1837,0,5,20,48143,58223,EURONICS Gaming
ESPORTSTMNT01/1280575,PRM,2020,1/21/2020 21:20,1,0,Red,EURONICS Gaming,1837,1,20,5,58223,48143,mousesports
ESPORTSTMNT03/1300673,LHE,2020,1/21/2020 21:21,1,0,Blue,Furious Gaming Chile,1852,1,20,12,59682,48316,FroztFire Team
ESPORTSTMNT03/1300673,LHE,2020,1/21/2020 21:21,1,0,Red,FroztFire Team,1852,0,12,20,48316,59682,Furious Gaming Chile
ESPORTSTMNT01/1270591,LFL,2020,1/21/2020 22:16,1,0,Blue,Vitality.Bee,1812,1,23,10,57204,49108,LDLC OL
ESPORTSTMNT01/1270591,LFL,2020,1/21/2020 22:16,1,0,Red,LDLC OL,1812,0,10,23,49108,57204,Vitality.Bee
ESPORTSTMNT03/1300688,LHE,2020,1/21/2020 22:17,1,0,Blue,Rebirth eSports,2510,1,18,9,78438,67757,Valorous
ESPORTSTMNT03/1300688,LHE,2020,1/21/2020 22:17,1,0,Red,Valorous,2510,0,9,18,67757,78438,Rebirth eSports
ESPORTSTMNT03/1300690,LHE,2020,1/21/2020 23:23,1,0,Blue,Humanoids5,2296,0,10,22,61656,71936,Azules Esports Academy
ESPORTSTMNT03/1300690,LHE,2020,1/21/2020 23:23,1,0,Red,Azules Esports Academy,2296,1,22,10,71936,61656,Humanoids5
ESPORTSTMNT03/1310742,LHE,2020,1/22/2020 0:43,1,0,Blue,Kaos Latin Gamers,2138,1,15,6,63085,52932,ACE 1
ESPORTSTMNT03/1310742,LHE,2020,1/22/2020 0:43,1,0,Red,ACE 1,2138,0,6,15,52932,63085,Kaos Latin Gamers
ESPORTSTMNT01/1280694,PGN,2020,1/22/2020 16:40,1,0,Blue,Samsung Morning Stars,2025,1,16,2,62172,49131,QLASH Forge
ESPORTSTMNT01/1280694,PGN,2020,1/22/2020 16:40,1,0,Red,QLASH Forge,2025,0,2,16,49131,62172,Samsung Morning Stars
ESPORTSTMNT01/1280712,PGN,2020,1/22/2020 17:39,1,0,Blue,YDN Esports,1466,1,24,5,50020,36949,Outplayed
ESPORTSTMNT01/1280712,PGN,2020,1/22/2020 17:39,1,0,Red,Outplayed,1466,0,5,24,36949,50020,YDN Esports
ESPORTSTMNT01/1280723,LFL,2020,1/22/2020 18:51,1,0,Blue,Misfits Premier,1803,0,14,22,49363,55789,GameWard
ESPORTSTMNT01/1280723,LFL,2020,1/22/2020 18:51,1,0,Red,GameWard,1803,1,22,14,55789,49363,Misfits Premier
ESPORTSTMNT01/1280737,PGN,2020,1/22/2020 19:28,1,0,Blue,MOBA ROG,1958,0,11,21,52413,65634,Racoon
ESPORTSTMNT01/1280737,PGN,2020,1/22/2020 19:28,1,0,Red,Racoon,1958,1,21,11,65634,52413,MOBA ROG
ESPORTSTMNT01/1280752,LFL,2020,1/22/2020 19:46,1,0,Blue,GamersOrigin,1954,1,16,6,61100,49621,IZI Dream
ESPORTSTMNT01/1280752,LFL,2020,1/22/2020 19:46,1,0,Red,IZI Dream,1954,0,6,16,49621,61100,GamersOrigin
ESPORTSTMNT01/1280800,PGN,2020,1/22/2020 20:26,1,0,Blue,Cyberground Gaming,2070,0,8,21,51482,62212,Campus Party Sparks
